Player,Season,Round,AF
James Podsiadly,2010,Round 15,59
Tom Lonergan,2010,Round 15,31
Shannon Byrnes,2010,Round 15,41
Mitchell Duncan,2010,Round 15,38
Cyril Rioli,2010,Round 15,109
Brad Sewell,2010,Round 15,105
Shaun Burgoyne,2010,Round 15,86
Lance Franklin,2010,Round 15,110
Grant Birchall,2010,Round 15,72
Luke Hodge,2010,Round 15,87
Thomas Murphy,2010,Round 15,74
Brent Guerra,2010,Round 15,79
Chance Bateman,2010,Round 15,69
Jordan Lewis,2010,Round 15,73
Michael Osborne,2010,Round 15,57
Benjamin Stratton,2010,Round 15,64
Stephen Gilham,2010,Round 15,53
Clinton Young,2010,Round 15,63
Xavier Ellis,2010,Round 15,58
Carl Peterson,2010,Round 15,51
Wayde Skipper,2010,Round 15,60
Brent Renouf,2010,Round 15,79
Ryan Schoenmakers,2010,Round 15,32
Jarryd Roughead,2010,Round 15,45
Josh Gibson,2010,Round 15,28
Campbell Brown,2010,Round 15,46
Simon Black,2010,Round 15,139
Michael Rischitelli,2010,Round 15,97
Daniel Rich,2010,Round 15,104
Luke Power,2010,Round 15,91
Tom Rockliff,2010,Round 15,110
Jack Redden,2010,Round 15,107
Jared Brennan,2010,Round 15,87
Travis Johnstone,2010,Round 15,85
Amon Buchanan,2010,Round 15,83
Mitchell Clark,2010,Round 15,80
Ashley McGrath,2010,Round 15,64
Pearce Hanley,2010,Round 15,80
Daniel Merrett,2010,Round 15,65
Joel Patfull,2010,Round 15,66
Tom Collier,2010,Round 15,49
Matthew Leuenberger,2010,Round 15,71
Brent Staker,2010,Round 15,74
Brendan Fevola,2010,Round 15,79
Aaron Cornelius,2010,Round 15,72
Todd Banfield,2010,Round 15,43
James Polkinghorne,2010,Round 15,34
Justin Sherman,2010,Round 15,26
Leigh Montagna,2010,Round 15,129
Lenny Hayes,2010,Round 15,80
Sam Gilbert,2010,Round 15,75
Nick Dal Santo,2010,Round 15,108
Clinton Jones,2010,Round 15,86
Farren Ray,2010,Round 15,100
James Gwilt,2010,Round 15,98
Stephen Milne,2010,Round 15,109
Brett Peake,2010,Round 15,80
Sam Fisher,2010,Round 15,77
Jarryn Geary,2010,Round 15,79
Ben McEvoy,2010,Round 15,66
Adam Schneider,2010,Round 15,85
Jason Blake,2010,Round 15,61
Jason Gram,2010,Round 15,56
Adam Pattison,2010,Round 15,68
Zac Dawson,2010,Round 15,43
Nick Riewoldt,2010,Round 15,68
Michael S. Gardiner,2010,Round 15,73
Andrew McQualter,2010,Round 15,68
Jack Steven,2010,Round 15,48
Sean Dempster,2010,Round 15,50
Daniel Connors,2010,Round 15,132
Shane Tuck,2010,Round 15,97
Brett Deledio,2010,Round 15,114
Chris Newman,2010,Round 15,119
Daniel Jackson,2010,Round 15,79
Shane Edwards,2010,Round 15,99
Mitch Farmer,2010,Round 15,87
Dustin Martin,2010,Round 15,93
Jeromey Webberley,2010,Round 15,82
Kelvin Moore,2010,Round 15,90
Trent Cotchin,2010,Round 15,80
Will Thursfield,2010,Round 15,66
Matthew White,2010,Round 15,104
Andrew Collins,2010,Round 15,64
Tyrone Vickery,2010,Round 15,68
Jake King,2010,Round 15,44
Jack Riewoldt,2010,Round 15,92
Angus Graham,2010,Round 15,48
David Astbury,2010,Round 15,52
Robin Nahas,2010,Round 15,54
Ben Nason,2010,Round 15,19
Benjamin Griffiths,2010,Round 15,6
David Mundy,2010,Round 15,112
Adam McPhee,2010,Round 15,119
Matthew Pavlich,2010,Round 15,98
Roger Hayden,2010,Round 15,58
Aaron Sandilands,2010,Round 15,108
Rhys Palmer,2010,Round 15,71
Garrick Ibbotson,2010,Round 15,59
Stephen Hill,2010,Round 15,97
Kepler Bradley,2010,Round 15,99
Paul Duffield,2010,Round 15,78
Paul Hasleby,2010,Round 15,64
Anthony Morabito,2010,Round 15,88
Matthew De Boer,2010,Round 15,59
Clancee Pearce,2010,Round 15,49
Dylan Roberton,2010,Round 15,46
Ryan Crowley,2010,Round 15,40
Jay Van Berlo,2010,Round 15,43
Alex Silvagni,2010,Round 15,70
Hayden Ballantyne,2010,Round 15,36
Nicholas Suban,2010,Round 15,32
Michael Johnson,2010,Round 15,44
Tim Ruffles,2010,Round 15,20
Tadhg Kennelly,2010,Round 15,119
Nick Malceski,2010,Round 15,111
Adam Goodes,2010,Round 15,158
Ryan O'Keefe,2010,Round 15,66
Daniel Hannebery,2010,Round 15,98
Lewis R-Thomson,2010,Round 15,119
Heath Grundy,2010,Round 15,90
Josh P. Kennedy,2010,Round 15,88
Jude Bolton,2010,Round 15,67
Nick Smith,2010,Round 15,58
Brett Kirk,2010,Round 15,110
Ben McGlynn,2010,Round 15,94
Rhyce Shaw,2010,Round 15,70
Paul Bevan,2010,Round 15,94
Brett Meredith,2010,Round 15,79
Shane Mumford,2010,Round 15,89
Kieren Jack,2010,Round 15,61
Jarred Moore,2010,Round 15,64
Ted Richards,2010,Round 15,48
Trent D-Lane,2010,Round 15,51
Mike Pyke,2010,Round 15,61
Jarrad McVeigh,2010,Round 15,27
Brent Harvey,2010,Round 15,97
Brady Rawlings,2010,Round 15,89
Leigh Adams,2010,Round 15,86
Ryan Bastinac,2010,Round 15,96
Samuel Wright,2010,Round 15,67
Ben Cunnington,2010,Round 15,67
Daniel Wells,2010,Round 15,53
Michael Firrito,2010,Round 15,52
Andrew Swallow,2010,Round 15,59
Todd Goldstein,2010,Round 15,95
Hamish McIntosh,2010,Round 15,83
Scott Thompson,2010,Round 15,36
Ed Lower,2010,Round 15,59
Robbie Tarrant,2010,Round 15,40
Ben Warren,2010,Round 15,49
Levi Greenwood,2010,Round 15,37
Lachlan Hansen,2010,Round 15,36
Lindsay Thomas,2010,Round 15,51
Drew Petrie,2010,Round 15,29
Daniel Pratt,2010,Round 15,21
Matt Campbell,2010,Round 15,36
Cruize Garlett,2010,Round 15,14
Colin Sylvia,2010,Round 15,124
Brad Green,2010,Round 15,141
Brent Moloney,2010,Round 15,79
Lynden Dunn,2010,Round 15,135
Cameron Bruce,2010,Round 15,90
Mark Jamar,2010,Round 15,111
Tom Scully,2010,Round 15,78
Jack Trengove,2010,Round 15,82
Aaron Davey,2010,Round 15,76
James Frawley,2010,Round 15,81
Matthew Bate,2010,Round 15,72
Nathan Jones,2010,Round 15,51
Joel Macdonald,2010,Round 15,48
Jordie McKenzie,2010,Round 15,57
Paul Johnson,2010,Round 15,44
Jared Rivers,2010,Round 15,60
Jamie Bennell,2010,Round 15,53
Kyle Cheney,2010,Round 15,40
Liam Jurrah,2010,Round 15,70
Jack Watts,2010,Round 15,45
Clint Bartram,2010,Round 15,40
Colin Garland,2010,Round 15,34
Jobe Watson,2010,Round 15,110
Nathan L-Murray,2010,Round 15,122
Jason Winderlich,2010,Round 15,126
Heath Hocking,2010,Round 15,76
Michael Hurley,2010,Round 15,90
Ben Howlett,2010,Round 15,73
Mark McVeigh,2010,Round 15,63
Travis Colyer,2010,Round 15,58
Rick Dyson,2010,Round 15,70
Brent Stanton,2010,Round 15,86
David Zaharakis,2010,Round 15,70
Courtenay Dempsey,2010,Round 15,52
Sam Lonergan,2010,Round 15,71
Kyle Reimers,2010,Round 15,55
Jay Neagle,2010,Round 15,74
Leroy Jetta,2010,Round 15,57
Angus Monfries,2010,Round 15,43
Alwyn Davey,2010,Round 15,65
Cale Hooker,2010,Round 15,32
Patrick Ryder,2010,Round 15,66
Tom Bellchambers,2010,Round 15,38
Andrew Welsh,2010,Round 15,43
Bryce Gibbs,2010,Round 15,116
Andrew Walker,2010,Round 15,88
Marc Murphy,2010,Round 15,96
Chris Judd,2010,Round 15,115
Andrew Carrazzo,2010,Round 15,79
Jordan Russell,2010,Round 15,90
Heath Scotland,2010,Round 15,75
Dennis Armfield,2010,Round 15,67
Paul Bower,2010,Round 15,59
Kade Simpson,2010,Round 15,74
Aaron Joseph,2010,Round 15,61
Bret Thornton,2010,Round 15,70
Sam Jacobs,2010,Round 15,79
Mitch Robinson,2010,Round 15,53
Ryan Houlihan,2010,Round 15,41
Lachlan Henderson,2010,Round 15,67
Jeff Garlett,2010,Round 15,80
Michael Jamison,2010,Round 15,45
Shaun Hampson,2010,Round 15,60
Christopher Yarran,2010,Round 15,42
Eddie Betts,2010,Round 15,23
Setanta O'hAilpin,2010,Round 15,12
Matthew Boyd,2010,Round 15,142
Adam Cooney,2010,Round 15,109
Ryan Griffen,2010,Round 15,111
Brian Lake,2010,Round 15,115
Ryan Hargrave,2010,Round 15,102
Daniel Cross,2010,Round 15,99
Jarrod Harbrow,2010,Round 15,81
Lindsay Gilbee,2010,Round 15,72
Daniel Giansiracusa,2010,Round 15,81
Shaun Higgins,2010,Round 15,92
Brad Johnson,2010,Round 15,95
Liam Picken,2010,Round 15,78
Robert Murphy,2010,Round 15,89
Ben Hudson,2010,Round 15,72
Easton Wood,2010,Round 15,37
Barry Hall,2010,Round 15,97
Tom Williams,2010,Round 15,66
Callan Ward,2010,Round 15,39
Dale Morris,2010,Round 15,57
Jarrad Grant,2010,Round 15,54
Jordan Roughead,2010,Round 15,51
Brennan Stack,2010,Round 15,12
Bernie Vince,2010,Round 16,127
Simon Goodwin,2010,Round 16,106
Graham Johncock,2010,Round 16,97
Scott Stevens,2010,Round 16,94
Michael Doughty,2010,Round 16,71
Scott Thompson,2010,Round 16,97
Nathan Van Berlo,2010,Round 16,98
David MacKay,2010,Round 16,65
Ricky Henderson,2010,Round 16,84
Ben Rutten,2010,Round 16,59
Richard Douglas,2010,Round 16,73
Patrick Dangerfield,2010,Round 16,61
Matthew Jaensch,2010,Round 16,62
Brent Reilly,2010,Round 16,63
Brad Symes,2010,Round 16,50
Taylor Walker,2010,Round 16,79
Andrew McLeod,2010,Round 16,54
Phil Davis,2010,Round 16,55
Rory Sloane,2010,Round 16,62
Jonathon Griffin,2010,Round 16,41
Ivan Maric,2010,Round 16,50
Kurt Tippett,2010,Round 16,30
Joel Selwood,2010,Round 16,118
Harry Taylor,2010,Round 16,132
James Kelly,2010,Round 16,101
Paul Chapman,2010,Round 16,102
Matthew Scarlett,2010,Round 16,92
Andrew Mackie,2010,Round 16,92
Cameron Ling,2010,Round 16,91
David Wojcinski,2010,Round 16,87
Josh Hunt,2010,Round 16,89
Shannon Byrnes,2010,Round 16,73
Gary Ablett,2010,Round 16,81
Corey Enright,2010,Round 16,58
Joel Corey,2010,Round 16,65
Mathew Stokes,2010,Round 16,72
Jimmy Bartel,2010,Round 16,72
Tom Lonergan,2010,Round 16,70
Simon Hogan,2010,Round 16,50
James Podsiadly,2010,Round 16,63
Brad Ottens,2010,Round 16,65
Travis Varcoe,2010,Round 16,55
Cameron Mooney,2010,Round 16,68
Mark Blake,2010,Round 16,13
Dane Swan,2010,Round 16,138
Alan Didak,2010,Round 16,114
Dale Thomas,2010,Round 16,116
Scott Pendlebury,2010,Round 16,119
Sharrod Wellingham,2010,Round 16,102
Luke Ball,2010,Round 16,101
Dayne Beams,2010,Round 16,95
Ben Johnson,2010,Round 16,75
Heath Shaw,2010,Round 16,88
Ben Reid,2010,Round 16,74
Leigh Brown,2010,Round 16,89
Alan Toovey,2010,Round 16,63
Leon Davis,2010,Round 16,85
Tarkyn Lockyer,2010,Round 16,66
Jarryd Blair,2010,Round 16,46
Steele Sidebottom,2010,Round 16,76
Heritier Lumumba,2010,Round 16,60
Brent Macaffer,2010,Round 16,82
Darren Jolly,2010,Round 16,64
Tyson Goldsack,2010,Round 16,61
Simon Prestigiacomo,2010,Round 16,25
Chris Dawes,2010,Round 16,20
Leigh Montagna,2010,Round 16,133
Sam Fisher,2010,Round 16,143
Lenny Hayes,2010,Round 16,111
Brendon Goddard,2010,Round 16,96
Sam Gilbert,2010,Round 16,96
Clinton Jones,2010,Round 16,97
Jarryn Geary,2010,Round 16,89
Jason Gram,2010,Round 16,67
James Gwilt,2010,Round 16,64
Adam Schneider,2010,Round 16,69
Brett Peake,2010,Round 16,57
Zac Dawson,2010,Round 16,60
Adam Pattison,2010,Round 16,63
Jason Blake,2010,Round 16,56
Farren Ray,2010,Round 16,52
Stephen Milne,2010,Round 16,42
Jack Steven,2010,Round 16,58
Nick Riewoldt,2010,Round 16,71
Michael S. Gardiner,2010,Round 16,50
Andrew McQualter,2010,Round 16,39
Justin Koschitzke,2010,Round 16,55
Sean Dempster,2010,Round 16,35
Luke Hodge,2010,Round 16,126
Brad Sewell,2010,Round 16,124
Sam Mitchell,2010,Round 16,105
Shaun Burgoyne,2010,Round 16,113
Jordan Lewis,2010,Round 16,145
Brent Guerra,2010,Round 16,93
Xavier Ellis,2010,Round 16,108
Wayde Skipper,2010,Round 16,117
Cyril Rioli,2010,Round 16,89
Benjamin Stratton,2010,Round 16,71
Grant Birchall,2010,Round 16,67
Clinton Young,2010,Round 16,87
Campbell Brown,2010,Round 16,72
Josh Gibson,2010,Round 16,46
Michael Osborne,2010,Round 16,61
Jarryd Roughead,2010,Round 16,92
Stephen Gilham,2010,Round 16,39
Thomas Murphy,2010,Round 16,58
Carl Peterson,2010,Round 16,71
Chance Bateman,2010,Round 16,36
Brent Renouf,2010,Round 16,72
Brendan Whitecross,2010,Round 16,44
Jared Brennan,2010,Round 16,102
Luke Power,2010,Round 16,96
Michael Rischitelli,2010,Round 16,94
Jack Redden,2010,Round 16,71
Tom Rockliff,2010,Round 16,76
Travis Johnstone,2010,Round 16,52
Daniel Rich,2010,Round 16,76
Ashley McGrath,2010,Round 16,43
Mitchell Clark,2010,Round 16,71
Matthew Leuenberger,2010,Round 16,83
James Polkinghorne,2010,Round 16,52
Amon Buchanan,2010,Round 16,54
Pearce Hanley,2010,Round 16,62
Joel Patfull,2010,Round 16,54
Brent Staker,2010,Round 16,51
Matthew Maguire,2010,Round 16,50
Jonathan Brown,2010,Round 16,48
Daniel Merrett,2010,Round 16,38
Justin Sherman,2010,Round 16,33
Tom Collier,2010,Round 16,26
Todd Banfield,2010,Round 16,21
Brendan Fevola,2010,Round 16,14
Travis Colyer,2010,Round 16,100
Jason Winderlich,2010,Round 16,100
Nathan L-Murray,2010,Round 16,78
Jobe Watson,2010,Round 16,83
Ben Howlett,2010,Round 16,99
Brent Stanton,2010,Round 16,110
Kyle Reimers,2010,Round 16,81
David Zaharakis,2010,Round 16,78
Sam Lonergan,2010,Round 16,74
Dustin Fletcher,2010,Round 16,65
Angus Monfries,2010,Round 16,68
Michael Hurley,2010,Round 16,60
Heath Hocking,2010,Round 16,50
Alwyn Davey,2010,Round 16,51
Cale Hooker,2010,Round 16,70
Jake Melksham,2010,Round 16,61
Mark McVeigh,2010,Round 16,41
Courtenay Dempsey,2010,Round 16,49
Scott Gumbleton,2010,Round 16,72
Patrick Ryder,2010,Round 16,59
Jay Neagle,2010,Round 16,41
Tom Bellchambers,2010,Round 16,42
Matthew Priddis,2010,Round 16,110
Adam Selwood,2010,Round 16,97
Andrew Embley,2010,Round 16,93
Brad Ebert,2010,Round 16,93
Mark Lecras,2010,Round 16,176
Matthew Rosa,2010,Round 16,85
Ashley Smith,2010,Round 16,66
Joshua Kennedy,2010,Round 16,118
Quinten Lynch,2010,Round 16,72
Scott Selwood,2010,Round 16,80
Dean Cox,2010,Round 16,104
Shannon Hurn,2010,Round 16,70
Ashton Hams,2010,Round 16,102
Lewis Stevenson,2010,Round 16,64
Beau Waters,2010,Round 16,49
Chris Masten,2010,Round 16,52
Nicholas Naitanui,2010,Round 16,52
Mitchell Brown,2010,Round 16,32
Bradley Sheppard,2010,Round 16,42
Eric MacKenzie,2010,Round 16,35
Andrew Strijk,2010,Round 16,49
Will Schofield,2010,Round 16,30
Matthew Boyd,2010,Round 16,133
Daniel Cross,2010,Round 16,141
Jarrod Harbrow,2010,Round 16,102
Ryan Hargrave,2010,Round 16,121
Lindsay Gilbee,2010,Round 16,106
Brian Lake,2010,Round 16,130
Adam Cooney,2010,Round 16,92
Nathan Eagleton,2010,Round 16,107
Brad Johnson,2010,Round 16,86
Robert Murphy,2010,Round 16,75
Ryan Griffen,2010,Round 16,69
Andrejs Everitt,2010,Round 16,68
Brodie Moles,2010,Round 16,85
Shaun Higgins,2010,Round 16,79
Callan Ward,2010,Round 16,65
Dale Morris,2010,Round 16,57
Liam Picken,2010,Round 16,57
Daniel Giansiracusa,2010,Round 16,64
Tom Williams,2010,Round 16,40
Jarrad Grant,2010,Round 16,52
Ben Hudson,2010,Round 16,59
Easton Wood,2010,Round 16,41
Kane Cornes,2010,Round 16,140
Danyle Pearce,2010,Round 16,92
Domenic Cassisi,2010,Round 16,92
Mitchell Banner,2010,Round 16,82
Troy Chaplin,2010,Round 16,84
Steven Salopek,2010,Round 16,60
Brett Ebert,2010,Round 16,75
Matthew Broadbent,2010,Round 16,68
Tom Logan,2010,Round 16,65
Paul Stewart,2010,Round 16,77
Jay Nash,2010,Round 16,68
Nick Salter,2010,Round 16,45
Scott Harding,2010,Round 16,52
David Rodan,2010,Round 16,43
Dean Brogan,2010,Round 16,60
Jason Davenport,2010,Round 16,53
Jackson Trengove,2010,Round 16,48
Daniel Motlop,2010,Round 16,45
Justin Westhoff,2010,Round 16,56
Cameron Hitchcock,2010,Round 16,24
Jay Schulz,2010,Round 16,51
Josh Carr,2010,Round 16,24
Chris Judd,2010,Round 16,106
Heath Scotland,2010,Round 16,102
Jordan Russell,2010,Round 16,102
Marc Murphy,2010,Round 16,110
Bryce Gibbs,2010,Round 16,112
Andrew Carrazzo,2010,Round 16,71
Jarrad Waite,2010,Round 16,95
Andrew Walker,2010,Round 16,64
Shaun Grigg,2010,Round 16,78
Mitch Robinson,2010,Round 16,50
Kade Simpson,2010,Round 16,77
Eddie Betts,2010,Round 16,65
Paul Bower,2010,Round 16,41
Sam Jacobs,2010,Round 16,64
Dennis Armfield,2010,Round 16,41
Jeff Garlett,2010,Round 16,73
Aaron Joseph,2010,Round 16,56
Shaun Hampson,2010,Round 16,61
Christopher Yarran,2010,Round 16,46
Lachlan Henderson,2010,Round 16,21
Michael Jamison,2010,Round 16,23
Kane Lucas,2010,Round 16,7
Heath Grundy,2010,Round 16,102
Adam Goodes,2010,Round 16,116
Nick Malceski,2010,Round 16,80
Paul Bevan,2010,Round 16,101
Ryan O'Keefe,2010,Round 16,103
Kieren Jack,2010,Round 16,115
Martin Mattner,2010,Round 16,85
Tadhg Kennelly,2010,Round 16,99
Jude Bolton,2010,Round 16,114
Jarred Moore,2010,Round 16,75
Daniel Hannebery,2010,Round 16,73
Josh P. Kennedy,2010,Round 16,66
Ted Richards,2010,Round 16,69
Jarrad McVeigh,2010,Round 16,61
Shane Mumford,2010,Round 16,113
Rhyce Shaw,2010,Round 16,82
Brett Meredith,2010,Round 16,55
Brett Kirk,2010,Round 16,48
Ben McGlynn,2010,Round 16,83
Jesse White,2010,Round 16,70
Mike Pyke,2010,Round 16,58
Nick Smith,2010,Round 16,10
Daniel Connors,2010,Round 16,123
Ben Cousins,2010,Round 16,89
Shane Tuck,2010,Round 16,119
Brett Deledio,2010,Round 16,91
Shane Edwards,2010,Round 16,70
Dustin Martin,2010,Round 16,86
Jeromey Webberley,2010,Round 16,54
Jake King,2010,Round 16,81
Chris Newman,2010,Round 16,56
Kelvin Moore,2010,Round 16,61
Luke McGuane,2010,Round 16,70
Andrew Collins,2010,Round 16,65
Trent Cotchin,2010,Round 16,47
Richard Tambling,2010,Round 16,41
Robin Nahas,2010,Round 16,49
Angus Graham,2010,Round 16,54
Jack Riewoldt,2010,Round 16,64
Mitch Farmer,2010,Round 16,34
Matthew White,2010,Round 16,25
David Astbury,2010,Round 16,29
Will Thursfield,2010,Round 16,21
Tyrone Vickery,2010,Round 16,37
Andrew Swallow,2010,Round 16,125
Leigh Adams,2010,Round 16,139
Daniel Wells,2010,Round 16,96
Nathan Grima,2010,Round 16,96
Brent Harvey,2010,Round 16,99
Michael Firrito,2010,Round 16,84
Brady Rawlings,2010,Round 16,75
Hamish McIntosh,2010,Round 16,85
Gavin Urquhart,2010,Round 16,89
Scott Thompson,2010,Round 16,74
Ben Cunnington,2010,Round 16,85
Daniel Pratt,2010,Round 16,77
Lachlan Hansen,2010,Round 16,74
Ben Warren,2010,Round 16,71
Ed Lower,2010,Round 16,67
Matt Campbell,2010,Round 16,85
Levi Greenwood,2010,Round 16,78
Ryan Bastinac,2010,Round 16,34
Aaron Edwards,2010,Round 16,51
Todd Goldstein,2010,Round 16,68
Samuel Wright,2010,Round 16,22
Robbie Tarrant,2010,Round 16,19
Paul Duffield,2010,Round 16,107
Adam McPhee,2010,Round 16,82
Stephen Hill,2010,Round 16,73
Greg Broughton,2010,Round 16,71
David Mundy,2010,Round 16,85
Luke McPharlin,2010,Round 16,65
Michael Johnson,2010,Round 16,65
Rhys Palmer,2010,Round 16,96
Anthony Morabito,2010,Round 16,62
Matthew Pavlich,2010,Round 16,79
Garrick Ibbotson,2010,Round 16,64
Dylan Roberton,2010,Round 16,72
Kepler Bradley,2010,Round 16,67
Nathan Fyfe,2010,Round 16,66
Paul Hasleby,2010,Round 16,70
Aaron Sandilands,2010,Round 16,83
Roger Hayden,2010,Round 16,31
Hayden Ballantyne,2010,Round 16,75
Matthew De Boer,2010,Round 16,50
Jay Van Berlo,2010,Round 16,43
Alex Silvagni,2010,Round 16,53
Ryan Crowley,2010,Round 16,26
Colin Sylvia,2010,Round 16,103
Tom Scully,2010,Round 16,89
Aaron Davey,2010,Round 16,97
Jordie McKenzie,2010,Round 16,74
Brad Green,2010,Round 16,87
Colin Garland,2010,Round 16,86
Cameron Bruce,2010,Round 16,57
Joel Macdonald,2010,Round 16,87
Nathan Jones,2010,Round 16,75
Jack Watts,2010,Round 16,71
Rohan Bail,2010,Round 16,86
James Frawley,2010,Round 16,74
Cale Morton,2010,Round 16,81
Matthew Bate,2010,Round 16,66
Jared Rivers,2010,Round 16,76
Clint Bartram,2010,Round 16,75
Lynden Dunn,2010,Round 16,80
Jamie Bennell,2010,Round 16,56
Paul Johnson,2010,Round 16,65
Liam Jurrah,2010,Round 16,63
Mark Jamar,2010,Round 16,37
Brent Moloney,2010,Round 16,16
Lenny Hayes,2010,Round 17,136
Brendon Goddard,2010,Round 17,109
Jason Gram,2010,Round 17,79
Sam Fisher,2010,Round 17,88
Farren Ray,2010,Round 17,94
James Gwilt,2010,Round 17,80
Adam Schneider,2010,Round 17,102
Nick Dal Santo,2010,Round 17,85
Leigh Montagna,2010,Round 17,68
Clinton Jones,2010,Round 17,61
Jason Blake,2010,Round 17,70
Nick Riewoldt,2010,Round 17,90
Sean Dempster,2010,Round 17,74
Zac Dawson,2010,Round 17,48
Michael S. Gardiner,2010,Round 17,85
Brett Peake,2010,Round 17,61
Sam Gilbert,2010,Round 17,39
Ben McEvoy,2010,Round 17,86
Jack Steven,2010,Round 17,46
Stephen Milne,2010,Round 17,37
Justin Koschitzke,2010,Round 17,43
Andrew McQualter,2010,Round 17,29
Luke Hodge,2010,Round 17,101
Shaun Burgoyne,2010,Round 17,99
Brad Sewell,2010,Round 17,95
Sam Mitchell,2010,Round 17,95
Brent Guerra,2010,Round 17,65
Lance Franklin,2010,Round 17,117
Xavier Ellis,2010,Round 17,51
Grant Birchall,2010,Round 17,47
Campbell Brown,2010,Round 17,60
Jarryd Roughead,2010,Round 17,79
Josh Gibson,2010,Round 17,36
Benjamin Stratton,2010,Round 17,56
Thomas Murphy,2010,Round 17,53
Chance Bateman,2010,Round 17,48
Stephen Gilham,2010,Round 17,60
Clinton Young,2010,Round 17,63
Cyril Rioli,2010,Round 17,54
Brent Renouf,2010,Round 17,55
Brendan Whitecross,2010,Round 17,55
Wayde Skipper,2010,Round 17,41
Jordan Lewis,2010,Round 17,24
Michael Osborne,2010,Round 17,57
Dane Swan,2010,Round 17,133
Scott Pendlebury,2010,Round 17,114
Alan Didak,2010,Round 17,122
Ben Johnson,2010,Round 17,95
Dale Thomas,2010,Round 17,89
Ben Reid,2010,Round 17,87
Steele Sidebottom,2010,Round 17,70
Luke Ball,2010,Round 17,88
Leigh Brown,2010,Round 17,120
Tyson Goldsack,2010,Round 17,62
Dayne Beams,2010,Round 17,78
Brent Macaffer,2010,Round 17,88
Sharrod Wellingham,2010,Round 17,59
Darren Jolly,2010,Round 17,90
Tarkyn Lockyer,2010,Round 17,76
Jarryd Blair,2010,Round 17,72
Leon Davis,2010,Round 17,75
Heritier Lumumba,2010,Round 17,59
Chris Dawes,2010,Round 17,62
Nick Maxwell,2010,Round 17,30
Alan Toovey,2010,Round 17,37
Simon Prestigiacomo,2010,Round 17,7
Shane Tuck,2010,Round 17,76
Mitch Morton,2010,Round 17,97
Ben Cousins,2010,Round 17,87
Alex Rance,2010,Round 17,99
David Astbury,2010,Round 17,89
Brett Deledio,2010,Round 17,71
Dean Polo,2010,Round 17,62
Shane Edwards,2010,Round 17,58
Luke McGuane,2010,Round 17,76
Daniel Connors,2010,Round 17,79
Dustin Martin,2010,Round 17,44
Chris Newman,2010,Round 17,76
Jake King,2010,Round 17,69
Jeromey Webberley,2010,Round 17,44
Robin Nahas,2010,Round 17,60
Ben Nason,2010,Round 17,53
Andrew Collins,2010,Round 17,56
Mitch Farmer,2010,Round 17,51
Jack Riewoldt,2010,Round 17,55
Jayden Post,2010,Round 17,22
Angus Graham,2010,Round 17,56
Andrew Browne,2010,Round 17,13
Joel Selwood,2010,Round 17,162
Darren Milburn,2010,Round 17,108
Jimmy Bartel,2010,Round 17,100
James Kelly,2010,Round 17,109
Paul Chapman,2010,Round 17,115
Gary Ablett,2010,Round 17,126
Cameron Ling,2010,Round 17,100
David Wojcinski,2010,Round 17,86
Joel Corey,2010,Round 17,109
Matthew Scarlett,2010,Round 17,65
Mathew Stokes,2010,Round 17,71
Harry Taylor,2010,Round 17,81
Corey Enright,2010,Round 17,59
Josh Hunt,2010,Round 17,82
Andrew Mackie,2010,Round 17,62
